Commercial.Online.Year,pca,tech,coolingwatertech,cap
2016,p58,gas-CC,none,81.1
2016,p58,gas-CT,none,60.2
2016,p59,gas-CT,none,190.0
2016,p64,gas-CT,none,49.8
2016,p65,gas-CT,none,219.60000000000005
2016,p67,gas-CT,none,60.0
2016,p70,gas-CT,none,35.5
2016,p75,hydro,none,9.2
2016,p76,lfill-gas,none,1.6
2016,p79,coal-new,none,398.0
2016,p80,gas-CT,none,10.100000000000001
2016,p80,lfill-gas,none,13.8
2016,p81,gas-CT,none,42.0
2016,p82,coal-new,none,768.0
2016,p86,gas-CC,none,32.0
2016,p9,gas-CT,none,3.6
2016,p9,lfill-gas,none,9.2
2016,p9,o-g-s,none,2.7
2016,p92,coal-new,none,976.0
2016,p92,nuclear,none,1122.0
2016,p94,lfill-gas,none,23.100000000000005
2016,p99,gas-CC,none,1371.1
2016,p99,gas-CT,none,191.0
2017,p1,hydro,none,12.0
2017,p10,gas-CT,none,11.4
2017,p10,o-g-s,none,3.0
2017,p101,gas-CC,none,459.0
2017,p101,gas-CT,none,7.4
2017,p101,lfill-gas,none,8.4
2017,p103,gas-CC,none,127.1
2017,p105,lfill-gas,none,6.4
2017,p108,gas-CC,none,1100.0
2017,p111,gas-CC,none,847.6
2017,p111,gas-CT,none,1.5
2017,p112,gas-CC,none,682.6
2017,p114,lfill-gas,none,4.5
2017,p122,gas-CT,none,47.9
2017,p123,gas-CC,none,1839.6
2017,p126,gas-CT,none,7.8
2017,p127,gas-CT,none,2.6
2017,p127,o-g-s,none,4.6
2017,p128,o-g-s,none,1.0
2017,p131,gas-CC,none,730.0
2017,p131,gas-CT,none,14.8
2017,p132,o-g-s,none,3.7
2017,p25,gas-CT,none,10.0
2017,p34,coal-new,none,339.0
2017,p34,hydro,none,2.4
2017,p36,gas-CT,none,191.59999999999997
2017,p4,hydro,none,122.0
2017,p41,gas-CT,none,9.3
2017,p43,gas-CT,none,139.5
2017,p45,gas-CT,none,4.3
2017,p51,gas-CC,none,516.4000000000001
2017,p52,gas-CT,none,6.0
2017,p53,gas-CT,none,63.89999999999999
2017,p61,gas-CT,none,0.5
2017,p63,gas-CC,none,1069.3
2017,p65,gas-CC,none,1087.8
2017,p65,gas-CT,none,272.0
2017,p67,gas-CT,none,563.0
2017,p70,gas-CC,none,653.6
2017,p70,gas-CT,none,2.0
2017,p74,gas-CT,none,50.099999999999994
2017,p75,coal-new,none,334.0
2017,p83,gas-CT,none,1.0
2017,p9,gas-CT,none,27.600000000000005
2017,p9,hydro,none,9.0
2017,p9,lfill-gas,none,4.0
2017,p9,o-g-s,none,10.4
2017,p93,coal-new,none,268.0
2017,p93,hydro,none,75.9
2017,p94,o-g-s,none,50.0
2017,p95,gas-CC,none,753.0
2017,p97,lfill-gas,none,3.3
2017,p98,gas-CT,none,90.0
2017,p99,gas-CC,none,774.0
2018,p10,gas-CT,none,6.3
2018,p10,geothermal,none,16.0
2018,p10,o-g-s,none,1.0
2018,p101,gas-CC,none,3272.2
2018,p101,gas-CT,none,18.6
