Nuke60RetireYear,pca,tech,coolingwatertech,cap
2011,p54,o-g-s,none,11.2
2011,p64,CoalOldUns,none,1180.0
2011,p64,gas-CC,none,7.6
2011,p69,gas-CT,none,0.9
2011,p70,gas-CT,none,2.5
2011,p75,hydro,none,1.9
2011,p78,o-g-s,none,52.0
2011,p81,CoalOldUns,none,576.0
2011,p81,gas-CC,none,86.0
2011,p81,gas-CT,none,2.4
2011,p83,gas-CT,none,2.0
2011,p87,CoalOldUns,none,360.0
2011,p89,CoalOldUns,none,685.0
2011,p94,CoalOldUns,none,857.0
2011,p94,hydro,none,15.2
2011,p98,gas-CT,none,1.2
2011,p99,CoalOldUns,none,596.0
2012,p1,hydro,none,24.0
2012,p10,gas-CC,none,31.0
2012,p10,hydro,none,1.5
2012,p101,gas-CT,none,19.0
2012,p103,hydro,none,3.0999999999999996
2012,p112,CoalOldUns,none,1016.0
2012,p117,hydro,none,2.4
2012,p118,hydro,none,40.599999999999994
2012,p125,CoalOldUns,none,410.0
2012,p127,hydro,none,8.6
2012,p128,gas-CT,none,11.2
2012,p129,gas-CT,none,8.4
2012,p129,hydro,none,1.4
2012,p131,gas-CT,none,3.8
2012,p131,hydro,none,12.0
2012,p134,hydro,none,5.8
2012,p21,CoalOldUns,none,156.0
2012,p24,CoalOldUns,none,330.0
2012,p25,hydro,none,1.2
2012,p31,o-g-s,none,66.0
2012,p32,hydro,none,4.0
2012,p34,gas-CT,none,6.0
2012,p43,gas-CT,none,5.4
2012,p45,gas-CT,none,1.3
2012,p5,hydro,none,4.3
2012,p52,gas-CT,none,4.0
2012,p53,CoalOldUns,none,474.0
2012,p53,gas-CT,none,22.200000000000003
2012,p54,gas-CT,none,0.9
2012,p6,hydro,none,4.6
2012,p66,o-g-s,none,12.799999999999999
2012,p70,gas-CT,none,2.1
2012,p72,gas-CT,none,7.8
2012,p79,CoalOldUns,none,995.0
2012,p81,CoalOldUns,none,992.0
2012,p92,hydro,none,21.999999999999996
2012,p93,CoalOldUns,none,341.0
2012,p94,CoalOldUns,none,858.0
2012,p96,gas-CT,none,27.0
2012,p97,hydro,none,27.0
2013,p10,gas-CT,none,1.5
2013,p10,hydro,none,14.499999999999998
2013,p102,o-g-s,none,392.0
2013,p103,CoalOldUns,none,758.0
2013,p103,gas-CT,none,1.5
2013,p103,hydro,none,1.9
2013,p105,CoalOldUns,none,431.0
2013,p105,hydro,none,0.6
2013,p107,CoalOldUns,none,1176.0
2013,p112,gas-CT,none,4.0
2013,p116,hydro,none,0.6
2013,p122,hydro,none,10.3
2013,p124,gas-CT,none,12.6
2013,p125,gas-CT,none,15.0
2013,p127,hydro,none,4.1
2013,p128,gas-CT,none,8.5
2013,p129,gas-CT,none,2.0
2013,p129,hydro,none,1.2
2013,p131,hydro,none,8.9
2013,p134,hydro,none,8.600000000000001
2013,p28,gas-CT,none,10.0
2013,p34,gas-CT,none,0.5
2013,p36,CoalOldUns,none,667.0
2013,p38,gas-CT,none,2.0
2013,p39,gas-CT,none,0.8
2013,p40,gas-CT,none,4.1
2013,p43,gas-CT,none,7.1
2013,p43,hydro,none,1.2
2013,p45,CoalOldUns,none,644.0
2013,p46,gas-CT,none,0.8
2013,p46,hydro,none,1.0
2013,p47,gas-CT,none,10.0
2013,p5,hydro,none,0.2
2013,p50,gas-CT,none,5.7
2013,p52,gas-CT,none,1.2
2013,p53,gas-CT,none,7.999999999999999
2013,p53,o-g-s,none,145.0
2013,p54,gas-CT,none,1.1
2013,p59,o-g-s,none,76.0
2013,p65,gas-CT,none,22.0
2013,p69,gas-CT,none,5.300000000000001
2013,p70,gas-CT,none,2.6
2013,p70,hydro,none,140.50000000000003
2013,p72,gas-CT,none,2.0
2013,p76,hydro,none,1.6
2013,p81,gas-CT,none,1.8
2013,p83,gas-CT,none,0.9
2013,p84,gas-CT,none,1.8
2013,p85,biopower,none,10.0
2013,p85,gas-CT,none,2.0
2013,p9,hydro,none,77.8
2013,p92,hydro,none,23.4
2013,p94,CoalOldUns,none,860.0
2013,p94,hydro,none,48.599999999999994
2013,p96,biopower,none,7.6
2013,p96,gas-CC,none,64.0
2013,p96,o-g-s,none,5.6
2014,p10,biopower,none,33.0
2014,p10,hydro,none,6.4
2014,p10,o-g-s,none,95.0
2014,p103,CoalOldUns,none,1028.0
2014,p103,gas-CT,none,1.4
2014,p105,CoalOldUns,none,472.0
2014,p114,o-g-s,none,56.3
2014,p12,hydro,none,2.5
2014,p122,hydro,none,23.7
2014,p125,gas-CT,none,15.0
2014,p127,hydro,none,12.200000000000001
2014,p127,o-g-s,none,27.0
2014,p128,gas-CT,none,14.5
2014,p129,gas-CT,none,2.0
2014,p129,hydro,none,3.7
2014,p130,hydro,none,2.7
2014,p131,gas-CT,none,2.3
2014,p131,hydro,none,1.8
2014,p132,hydro,none,9.899999999999999
2014,p133,o-g-s,none,2.0
2014,p28,o-g-s,none,72.0
2014,p33,CoalOldUns,none,505.0
2014,p33,gas-CT,none,1.1
2014,p34,gas-CT,none,20.0
2014,p40,CoalOldUns,none,100.0
2014,p40,gas-CT,none,0.9
2014,p41,gas-CT,none,1.7
2014,p43,gas-CC,none,110.0
2014,p43,hydro,none,0.8
2014,p45,CoalOldUns,none,500.0
2014,p50,o-g-s,none,50.0
2014,p52,gas-CT,none,4.5
2014,p53,gas-CT,none,9.5
2014,p70,CoalOldUns,none,730.0
2014,p70,gas-CT,none,4.5
2014,p74,hydro,none,4.7
